Protein A (gene name)	Protein B (gene name)	PubMed ID	Source databases
APEX1	HDAC1	22441348	(mentha)
APEX1	PCNA	17599061	(mentha)
APH1A	SYT1	27036734	(mentha)
APH1A	PSEN1	15146195|15474363	(mentha)
APH1A	PSEN2	15474363	(mentha)
APLP1	APP	16193067|17934213	(mentha)
APLP1	DAB1	10460257	(mentha)
APLP1	CPEB1	16314516	(mentha)
APLP2	APLP1	16193067	(mentha)
APLP2	APP	16193067|17934213	(mentha)
APLP2	CPEB1	16314516	(mentha)
APLP2	DAB1	10460257	(mentha)
APOA1	APOB	15654758	(mentha)
APOA1	APOA1	11744719	(mentha)
APP	SNCA	18769546	(mentha)
APP	PRNP	17934213|15146195	(mentha)
APP	ITM2B	21587206	(mentha)
APP	APP	20573181	(mentha)
APPBP2	CROCC	16018997	(mentha)
AR	TCF21	15919722	(mentha)
AR	CASP8	17170703	(mentha)
ARC	PSEN1	22036569	(mentha)
ARC	APP	22036569	(mentha)
ARC	NCSTN	22036569	(mentha)
ARC	DLG4	23424281|19455133	(mentha)
ARC	CAMK2B	22579289	(mentha)
ARF6	PIP5K1C	20493856	(mentha)
ARF6	KCNK1	15540117	(mentha)
ARFGAP1	LRRK2	22363216	(mentha)
ARFIP2	SYP	18706977	(mentha)
ARHGAP1	CDC42	14966113	(mentha)
ARHGAP1	RAC1	14966113	(mentha)
ARHGAP1	PAFAH1B1	18331715	(mentha)
ARHGAP22	RAC1	14966113	(mentha)
ARHGAP32	GRIN2B	12531901	(mentha)
ARHGAP32	CTNNB1	12531901	(mentha)
ARHGAP32	RAC1	12531901	(mentha)
ARHGAP32	CDH2	12531901	(mentha)
ARHGAP32	DLG4	12531901	(mentha)
ARHGAP32	CDC42	12531901	(mentha)
ARHGAP32	CAMK2A	12531901	(mentha)
ARHGAP33	FYN	16777849	(mentha)
ARHGAP33	CRK	12773384	(mentha)
ARHGAP33	CDC42	12773384	(mentha)
ARHGAP35	UBC	20530197	(mentha)
ARHGDIA	CASP7	18723680	(mentha)
ARHGDIA	CASP3	18723680	(mentha)
ARHGDIA	RAC1	25074804	(mentha)
ARHGDIA	IKBKG	24240172	(mentha)
ARHGEF11	PLXNB2	12123608	(mentha)
ARHGEF12	PLXNB1	12123608	(mentha)
ARHGEF12	RTKN	12123608	(mentha)
ARHGEF15	UBC	21029865	(mentha)
ARHGEF15	EPHB2	21029865	(mentha)
ARHGEF2	RHOB	16917499	(mentha)
ARHGEF28	YWHAE	11533041	(mentha)
ARHGEF28	YWHAH	11533041	(mentha)
ARHGEF28	YWHAZ	11533041	(mentha)
ARHGEF7	PAK3	9726964	(mentha)
ARHGEF7	YWHAB	16635246|20338996	(mentha)
ARHGEF7	PXN	12153727	(mentha)
ARHGEF7	LRRK2	21048939	(mentha)
ARHGEF7	GIT1	19022416|16959763	(mentha)
ARHGEF7	EGFR	16892055	(mentha)
ARHGEF7	CBLB	16892055	(mentha)
ARID3A	BTK	15456761	(mentha)
ARID3B	NANOG	23892456|23395962	(mentha)
ARID3B	POU5F1	17093407|20362541|20362542|22083510	(mentha)
ARIH1	UBE2L3	10431818	(mentha)
ARIH2	UBE2E3	19256485	(mentha)
ARIH2	UBE2L3	10431818|11722579	(mentha)
ARIH2	UBE2E1	11722579	(mentha)
ARL3	PDE6D	10518933	(mentha)
ARL6IP4	RNF41	18986647	(mentha)
ARNT	AHR	9020169|7488247	(mentha)
ARNT	FOXA2	20609350	(mentha)
ARNT2	HIF1A	10873592	(mentha)
ARNTL	NPAS2	23735699	(mentha)
ARNTL	CLOCK	16606840|18662547|23735699|22441692|17347670|20832105|14701732|9704006|18662546|23555304|16717091	(mentha)
ARNTL	USP2	21966515|23213472	(mentha)
ARNTL	UBC	21966515	(mentha)
ARNTL	SIRT1	18662546|18662547	(mentha)
ARNTL	PER3	14701732	(mentha)
ARNTL	PER2	16717091|18430226|21113167|22274616|20832105|14701732|21680841	(mentha)
ARNTL	PER1	21966515|16717091|14701732|21680841	(mentha)
ARNTL	KMT2A	21113167	(mentha)
ARNTL	PARP1	20832105	(mentha)
ARNTL	HLF	9704006	(mentha)
ARNTL	HIF1A	20211142|9704006	(mentha)
ARNTL	EZH2	16717091	(mentha)
ARNTL	DBP	21113167	(mentha)
ARNTL	CSNK1E	21966515|23555304	(mentha)
ARNTL	CRY2	20832105|23555304|16717091|14701732|18430226	(mentha)|(mentha)
ARNTL	CRY1	23555304|16717091|25127877|15226430|21966515|20832105|14701732|18430226	(mentha)
ARRB1	TRAF6	16378096	(mentha)
ARRB1	YES1	11546805	(mentha)
ARRB1	AGTR1A	11579203	(mentha)
ARRB1	SLC9A1	20855896	(mentha)
ARRB1	AKT1	16051150|19122674	(mentha)
ARRB1	CD247	24502978	(mentha)
ARRB1	SRC	19122674	(mentha)
ARRB1	EDNRA	11546805	(mentha)
ARRB2	PPP2R2B	16051150	(mentha)
ARRB2	TRAF6	16378096|23960234	(mentha)
ARRB2	PPP2CA	16051150	(mentha)
ARRB2	AKT1	19122674|16051150	(mentha)
ARRB2	TAB1	20813258	(mentha)
ARRB2	PDE4D	19955404	(mentha)
ARRB2	FFAR4	20813258	(mentha)
ARRB2	GSK3A	16051150	(mentha)
ARRB2	ARRB1	19122674	(mentha)
ARRB2	INSR	19122674	(mentha)
ARRB2	SRC	19122674	(mentha)
ARRB2	MDM2	11588219	(mentha)
ARTN	GFRA3	15204970	(mentha)
ARVCF	CDH15	11719554	(mentha)
ARVCF	CDH2	11719554	(mentha)
ARVCF	CDH1	11719554	(mentha)
ASAP1	UACA	18685082	(mentha)
ASAP1	DTNBP1	18685082	(mentha)
ASAP1	ARHGEF2	18685082	(mentha)
ASAP1	PTK2B	12771146	(mentha)
ASAP1	SESTD1	18685082	(mentha)
ASAP1	REPS2	12149250	(mentha)
ASB2	TCEB1	9869640	(mentha)
ASB2	TCEB2	9869640	(mentha)
ASCC1	DDRGK1 {ECO:0000312|MGI:MGI:1924256}	25219498	(mentha)
ASCL1	TCF3	20211142|8948587|12217327|12200424	(mentha)
ASCL1	NEUROG2	20211142|8948587	(mentha)
ASCL3	TCF12	11784080	(mentha)
ASCL3	TCF4	11784080	(mentha)
ASCL3	MYOD1	11784080	(mentha)
ASCL3	TCF3	20211142|11784080	(mentha)
ASCL3	ASCL3	11784080	(mentha)
ASH2L	WDR5	21477851	(mentha)
ASH2L	POU5F1	21477851|22083510	(mentha)
ASH2L	RBBP5	17825402|21477851|21448134|21335234|17707229	(mentha)
ASH2L	TBX1	20463296	(mentha)
ASH2L	POLR2A	21448134	(mentha)
ASH2L	MAFK	17707229	(mentha)
ASH2L	NFE2	20211142|17707229	(mentha)
ASH2L	MAFA	26180087	(mentha)
ASIC2	DLG4	19571134	(mentha)
ASIC2	PICK1	11739374	(mentha)
ASIC2	ASIC1	19571134	(mentha)
ASRGL1	ABL1	9356459	(mentha)
ASXL2	SUZ12	24040135	(mentha)
ASXL2	EZH2	24040135	(mentha)
ATAD1	GRIA2	21496646	(mentha)
ATF2	EP300	10327051	(mentha)
ATF2	BARX2	20211142|10781615	(mentha)
ATF2	ATF2	12052888	(mentha)
ATF3	HDAC2	22989952	(mentha)
ATF3	JUN	21304988	(mentha)
ATF3	HSF1	17766920	(mentha)
ATF4	ATF1	12871976	(mentha)
ATF4	CREB1	12871976	(mentha)
ATF4	DAPK3	9488481|12917339	(mentha)
ATF4	KPNA6	18957537	(mentha)
ATF4	JUN	1631061|20211142	(mentha)
ATF4	FOS	1631061|20211142	(mentha)
ATF7	ATF2	19893493	(mentha)
ATF7IP	CDK7	10777215	(mentha)
ATF7IP	CCNH	10777215	(mentha)
ATF7IP	ERCC3	10777215	(mentha)
ATG12	FADD	18946037	(mentha)
ATG12	RAB33B	18448665	(mentha)
ATG12	ATG3	20723759|24191030	(mentha)
ATG12	ATG5	12482611|20723759|12665549	(mentha)
ATG12	ATG10	12482611	(mentha)
ATG13	ULK1	23392225	(mentha)
ATG14	PIK3C3	23332761	(mentha)
ATG14	BECN1	23332761	(mentha)
ATG16L1	ATG16L1	12665549	(mentha)
ATG16L1	FADD	18946037	(mentha)
ATG16L1	RAB33B	18448665	(mentha)
ATG16L1	SQSTM1	22167182	(mentha)
ATG3	MAP1LC3A	18083104	(mentha)
ATG5	ATG16L1	12665549	(mentha)
ATG5	MAP1LC3A	18946037	(mentha)
ATG5	ATG5	12665549	(mentha)
ATG5	WDFY3	20417604	(mentha)
ATG5	ATG10	12482611	(mentha)
ATG5	RAB33B	18448665	(mentha)
ATG5	CASP8	22362782|18946037	(mentha)
ATG5	RIPK1	18946037	(mentha)
ATG5	FADD	22362782|18946037	(mentha)
ATG7	FADD	18946037	(mentha)
ATG7	ATG7	22170151|22055190	(mentha)
ATG7	MAP1LC3A	18083104	(mentha)
ATG7	ATG10	12482611	(mentha)
ATG7	ATG12	12482611	(mentha)
ATG7	ATG3	22170151|24191030|22055190	(mentha)
ATM	DNMT1	23754744	(mentha)
ATM	H2AFX	11571274	(mentha)
ATOH1	TCF3	17878293	(mentha)
ATP1A1	SLC8A1	15485817|16292983	(mentha)|(mentha)
ATP1A1	KL	21605558	(mentha)
ATP1A1	DLG4	14559911	(mentha)
ATP1A1	ITPR1	16292983	(mentha)
ATP1A2	ITPR1	16292983	(mentha)
ATP1A2	SLC8A1	15485817|16292983	(mentha)|(mentha)
ATP1A3	SARM1	17804407	(mentha)
ATP2A2	ATP2B1	16352659	(mentha)
ATP2B4	SCN5A	18591664	(mentha)
ATP6V0A1	PSEN1	20541250	(mentha)
ATP6V0A1	ATP6V1G1	12133826	(mentha)
ATP6V0A1	ATP6V1G2	12133826	(mentha)
ATP6V0A4	ATP6V0D2	11498539	(mentha)
ATP6V0D2	BCL2	16717086	(mentha)
ATP6V1C1	ARF6	16415858	(mentha)
ATP6V1C2	VMA21	19379691	(mentha)
ATP6V1G1	ATP6V0C	12133826	(mentha)
ATP6V1G1	LAMP2	12133826	(mentha)
ATP6V1G2	ATP6V0C	12133826	(mentha)
ATP7A	SOD3	16371425	(mentha)
ATP7B	CLU	21242307	(mentha)
ATP8B2	DNAJC2	7559602	(mentha)
ATRIP	TOPBP1	20871591	(mentha)
ATRNL1	MC4R	14531729	(mentha)
ATRX	CTCF	20159591	(mentha)
ATRX	AR	21427128	(mentha)
ATRX	EZH2	25417162	(mentha)
ATXN1	RORA	17110330	(mentha)
ATXN3	UBA52	19153604	(mentha)
ATXN3	VCP	16525503	(mentha)
ATXN3	ITGA5	20668528	(mentha)
ATXN3	UBC	15664989|16432517	(mentha)
ATXN3	HSPA1B	15639784	(mentha)
ATXN3	ATXN3	16939621	(mentha)
ATXN3	DNAJA1	15639784	(mentha)
ATXN3	HSPA8	15639784	(mentha)
ATXN7	TRRAP	20508642|16494529	(mentha)
ATXN7	CRX	14613968	(mentha)
ATXN7	SUPT3	16494529	(mentha)
AURKA	H3F3B	21274965	(mentha)
AURKA	NEDD9	24574519	(mentha)
AURKA	CCND3	22024926	(mentha)
AXIN1	SMAD6	16601693	(mentha)
AXIN1	AXIN1	12223491|9920888|15579909	(mentha)
AXIN1	MAP3K4	12878610	(mentha)
AXIN1	SMAD7	16601693	(mentha)
AXIN2	SMAD7	16601693	(mentha)
AXL	TYRO3	18787040	(mentha)
AXL	IFNAR1	18083102	(mentha)
Aatf	Maged1	17488777	"psi-mi:""MI:0463""(biogrid)"
Aatk	Stk39	14563843	"psi-mi:""MI:0469""(IntAct)"
Abbp1	Trp63	20157588	"psi-mi:""MI:0463""(biogrid)"
Abca1	Abca12	23931754	"psi-mi:""MI:1332""(bhf-ucl)"
Abca1	Sptlc1	18484747	"psi-mi:""MI:0463""(biogrid)"
Abca1	Nr1h2	23931754	"psi-mi:""MI:1332""(bhf-ucl)"
Abcb10	Abcb10	15215243	"psi-mi:""MI:0463""(biogrid)"
Abcb7	Cox4i1	fj-09-0740|19691493	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Abcb7	Cyb5r3	fj-09-0740|19691493	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Abcb7	Fech	19691493|fj-09-0740	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Abcc8	Ank2	19805355	MI:0465(dip)
Abcd1	Abcd3	10551832	"psi-mi:""MI:0463""(biogrid)"
Abcd2	Abcd2	10551832	"psi-mi:""MI:0469""(IntAct)"
Abcd2	Abcd1	10551832	"psi-mi:""MI:0463""(biogrid)"
Abcd3	Abcd2	10551832	"psi-mi:""MI:0469""(IntAct)"
Abhd5	Plin1	15136565|16679289|21393244	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0463""(biogrid)"
Abhd5	Pnpla2	16679289|21393244|25961502	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0463""(biogrid)|MI:0465(dip)"
Abhd5	Plin2	15136565	"psi-mi:""MI:0463""(biogrid)"
Abi1	Abl2	7590237	"psi-mi:""MI:0463""(biogrid)"
Abi1	Sos2	11003655	"psi-mi:""MI:0469""(IntAct)"
Abi1	Eps8	9010225	"psi-mi:""MI:0469""(IntAct)"
Abi1	Hras	12515821	"psi-mi:""MI:0463""(biogrid)"
Abi1	Sos1	11003655	"psi-mi:""MI:0469""(IntAct)"
Abi1	Pik3r1	12515821	"psi-mi:""MI:0463""(biogrid)"
Abi2	Eps8	19564905	MI:0465(dip)
Abl1	Dok1	10823839	"psi-mi:""MI:0463""(biogrid)"
Abl1	Cbl	8635998|10391678	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0463""(biogrid)"
Abl1	Sh3bp2	MINT-5220831|8438166	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Abl1	Pxn	9603926	"psi-mi:""MI:0463""(biogrid)"
Abl1	Kat5	21781306	"psi-mi:""MI:1263""(Molecular Connections)"
Abl1	Jun	19818398	MI:0974(innatedb)
Abl1	Dok2	12777393	"psi-mi:""MI:0471""(MINT)"
Abl1	Abi1	11163214|11163214	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Abl1	Pparg	25368164	"psi-mi:""MI:0463""(biogrid)"
Abl1	Dok1	15148308	"psi-mi:""MI:0469""(IntAct)"
Abl1	Rapgef1	16443220	"psi-mi:""MI:0463""(biogrid)"
Abl1	Rin1	9144171	"psi-mi:""MI:0463""(biogrid)"
Abl1	Abl1	11274764	"psi-mi:""MI:0463""(biogrid)"
Abl1	Inpp5d	11031258	"psi-mi:""MI:0463""(biogrid)"
Abl1	Crkl	8978305	"psi-mi:""MI:0463""(biogrid)"
Abl1	Snca	24412932	"psi-mi:""MI:0469""(IntAct)"
Abl1	Dok2	12777393	"psi-mi:""MI:0471""(MINT)"
Abl2	Abi1	7590237	"psi-mi:""MI:0463""(biogrid)"
Abl2	Ephb2	11494128	"psi-mi:""MI:1335""(HPIDb)"
Abr	Rac1	17116687	"psi-mi:""MI:0463""(biogrid)"
Abt1	Tbp	10648625	"psi-mi:""MI:0463""(biogrid)"
Abt1	Gm4275	20356838	"psi-mi:""MI:0463""(biogrid)"
Acad9	Ecsit	21525932	MI:0465(dip)
Acadvl	Socs3	22093833	"psi-mi:""MI:0463""(biogrid)"
Acd	Pot1	19648609	"psi-mi:""MI:1332""(bhf-ucl)"
Acd	Pot1b	17632522	MI:0465(dip)
Acd	Terf2	19648609	"psi-mi:""MI:1332""(bhf-ucl)"
Acd	Terf2ip	19648609	"psi-mi:""MI:1332""(bhf-ucl)"
Acd	Terf1	19648609	"psi-mi:""MI:1332""(bhf-ucl)"
Acd	Tinf2	19648609	"psi-mi:""MI:1332""(bhf-ucl)"
Acd	Obfc1	19648609	"psi-mi:""MI:1332""(bhf-ucl)"
Ace	Myh9	16186248	"psi-mi:""MI:0463""(biogrid)"
Ache	Lamb1	15474030|15474030	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Ache	Lama1	12524166	"psi-mi:""MI:0463""(biogrid)"
Ackr2	Ccr3	9139699	MI:0974(innatedb)
Aco2	Itpr1	15652484	"psi-mi:""MI:0469""(IntAct)"
Acot7	Acot7	17563367	MI:0465(dip)
Acp1	Ctnnb1	12438242|12438242	"psi-mi:""MI:0463""(biogrid)|MI:0974(innatedb)"
Acta1	Ipp	11536049	"psi-mi:""MI:0463""(biogrid)"
Acta1	Snca	19553474	"psi-mi:""MI:0463""(biogrid)"
Acta2	Lasp1	15465019	"psi-mi:""MI:0463""(biogrid)"
Actb	Espn	12598619|12598619	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Actb	Pfn2	17541406|17541406	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Actb	Sept2	17024187|17024187	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Actb	Prkce	15251432|15251432	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Actb	Cav1	15293782	"psi-mi:""MI:0469""(IntAct)"
Actb	Cotl1	11785969	"psi-mi:""MI:0463""(biogrid)"
Actb	Plekhh2	22832517	"psi-mi:""MI:0486""(UniProt)"
Actb	Pfn1	17541406|17541406	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Actb	Ipo9	22323606	"psi-mi:""MI:0463""(biogrid)"
Actg1	Ank3	19109891	"psi-mi:""MI:0469""(IntAct)"
Actl6b	Smarca2	12368262|12368262	"psi-mi:""MI:0463""(biogrid)|psi-mi:""MI:0469""(IntAct)"
Actl6b	Smarca4	12368262	"psi-mi:""MI:0463""(biogrid)"
Actn2	Ldb3	10391924|10391924|10391924	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0463""(biogrid)"
Actn2	Camk2a	16120608|16120608	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Actn4	Tjp1	16944923	"psi-mi:""MI:0469""(IntAct)"
Actn4	Nos2	12960352	MI:0974(innatedb)
Actn4	Micall2	18332111	"psi-mi:""MI:0469""(IntAct)"
Actr3	Cttn	11018051	"psi-mi:""MI:1222""(mbinfo)"
Actrt3	Scaper	18692047|18692047	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Actrt3	Kif21a	18692047|18692047	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
Actrt3	Pfn3	18692047|18692047	"psi-mi:""MI:0471""(MINT)|psi-mi:""MI:0471""(MINT)"
